#f key:  f_a: 0 = no measurement (set to -30). 1 = Si 2 = Si lower limit (error set to 0) 3 = Si upper limit 4 = S/H 5 = O/H 13 = Si + S limits
# f_Zn:  0=No measurement; 1=Zn measurement; 2=Zn lower limit; 3=Zn upper limit
# f_Fe: 0=No measurement; 1=Fe measurement; 2=Fe lower limit; 3=Fe upper limit; 4=[Ni/H]-0.1dex; 5=[Cr/H] - 0.2dex; 6=[Al/H]; 11-16=Fe, Ni, Cr, Al limits; 25=Mean of Fe limits.
# z_em      z_abs         NHI       error       f_a       α /H      error       f_zn     Zn/H       error       f_Fe    Fe/H       error
1.950		1.6559		 21.25      0.15 		 1		 -0.89 		0.07		 3		 -0.55 		0.00		 1		 -1.05 		0.07
2.310		1.6614		 20.80      0.10 		 1		 -1.04 		0.01		 1		 -0.99 		0.01		 1		 -1.48 		0.02
2.080		1.7764		 21.14      0.08 		 1		 -1.42 		0.00		 1		 -1.27 		0.03		 1		 -2.02 		0.00
2.120		1.7806		 21.45      0.15 		 1		 -1.21 		0.03		 1		 -1.01 		0.04		 1		 -1.48 		0.02
2.448		1.8573		 20.90      0.10 		 1		 -1.05 		0.11		 1		 -1.05 		0.11		 1		 -1.32 		0.11
2.500		1.8640		 21.00      0.10 		 4		 -1.51 		0.03		 0		 -30.00 	0.00		 0		 -30.00 	0.00
2.150		1.8644		 20.85      0.08 		 1		 -0.75 		0.01		 1		 -0.72 		0.03		 1		 -1.16 		0.02
2.540		1.8918		 20.60      0.10 		 1		 -0.87 		0.02		 1		 -0.90 		0.03		 1		 -1.14 		0.06
2.523		1.9035		 21.54      0.10 		 0		 -30.00 	0.00		 1		 -1.30 		0.03		 5		 -1.80 		0.02
3.020		1.9130		 20.80      0.10 		 0		 -30.00 	0.00		 1		 -1.03 		0.03		 0		 -30.00 	0.00
2.560		1.9200		 20.65      0.07 		 1		 -0.42 		0.00		 1		 -0.41 		0.01		 1		 -0.86 		0.02
