# redshift  log [M / H]  velocity width
# Data from astro-ph/0703701 fig. 6 courtesy of Edoardo Tescari

   1.6614  -1.04    56
   1.7764  -1.42    72
   1.8644  -0.75   176
   1.8918  -0.87    42
   1.9200  -0.42   132
   1.9440  -1.36    84
   1.9622  -0.44   468
   1.9730  -0.96   720
   1.9991  -1.48    42
   2.0250  -1.20    32
   2.0396  -1.19    82
   2.0661  -0.88   122
   2.0762  -2.31    26
   2.0951  -0.77   142
   2.1408  -1.49    40
   2.1410  -1.25    74
   2.1539  -1.58    78
   2.2794  -1.92    30
   2.2931  -0.56   100
   2.3090  -1.46    56
   2.3300  -0.87   173
   2.3371  -1.28    85
   2.3700  -1.81    17
   2.3745  -1.27    38
   2.4180  -2.45    31
   2.4230  -1.29   112
   2.4263  -0.69   234
   2.4313  -0.54   290
   2.4562  -2.02    69
   2.4628  -0.41   200
   2.4653  -1.15    88
   2.4661  -1.59    94
   2.4690  -2.13    35
   2.4762  -1.39    36
   2.5379  -1.74    66
   2.5505  -1.37   165
   2.5696  -1.63   340
   2.5841  -1.05   196
   2.5950  -1.06    79
   2.5950  -0.96    79
   2.6147  -1.98    90
   2.6215  -2.04   182
   2.6253  -0.79    74
   2.6263  -0.93    70
   2.6710  -1.44    34
   2.7775  -1.37    60
   2.7800  -1.37    30
   2.7828  -1.67    30
   2.7835  -1.99    56
   2.7959  -1.72    60
   2.7989  -1.80    65
   2.8000  -1.57    67
   2.8268  -0.79   136
   2.8520  -1.52    58
   2.9082  -1.04   100
   2.9489  -2.15    70
   2.9831  -2.35    50
   3.0174  -1.68    42
   3.0247  -1.16    84
   3.0572  -1.08   125
   3.0621  -1.54   102
   3.1132  -1.54   160
   3.1192  -2.23    60
   3.2020  -1.10   140
   3.2191   0.00    60
   3.2194  -1.81    70
   3.2244  -2.33    50
   3.2353  -1.97    26
   3.2529  -0.93   224
   3.2725  -1.08   170
   3.2796  -1.13    46
   3.3163  -1.23    70
   3.3172  -1.65    52
   3.3407  -2.39    30
   3.3504  -1.27    43
   3.3869  -1.25    67
   3.3901  -1.91    28
   3.3913  -1.40   100
   3.4036  -1.80   110
   3.4233  -1.66   140
   3.4252  -1.51   320
   3.4389  -1.06   118
   3.4960  -1.57   110
   3.5539  -1.51    80
   3.6076  -1.80    32
   3.6667  -1.68    30
   3.6845  -2.59   100
   3.6919  -2.34    39
   3.6947  -0.62   390
   3.6970  -1.72    70
   3.7045  -1.22    60
   3.7274  -2.40    40
   3.7358  -2.33    38
   3.7609  -2.32    30
   3.7612  -2.02   130
   3.7617  -1.52    70
   3.7736  -0.75   123
   3.8109  -2.03    90
   3.8382  -2.17    80
   3.8567  -1.60   248
   3.8636  -2.60    47
   3.8910  -1.46   130
   3.9000  -2.01   150
   3.9146  -1.78    38
   4.0244  -1.46   302
   4.0803  -1.87   144
   4.1798  -1.70   344
   4.2029  -2.62    36
   4.2241  -0.70    90
   4.2442  -2.19    70
   4.2824  -1.76    40
   4.3829  -1.81   170
   4.4679  -1.55   192
